playername	month	year	revid
Hank%20Aaron	5	2007	127146892
Yogi%20Berra	5	2007	126206609
Yogi%20Berra	6	2007	134473173
Hank%20Aaron	6	2007	134796922
Hank%20Aaron	1	2006	32628107
Hank%20Aaron	1	2007	97406098
Hank%20Aaron	1	2008	180867307
Hank%20Aaron	1	2009	260341135
Hank%20Aaron	1	2010	335151781
Hank%20Aaron	1	2011	404926164
Hank%20Aaron	2	2006	37524740
Hank%20Aaron	2	2007	104601430
Hank%20Aaron	2	2008	185506475
Hank%20Aaron	2	2009	266828214
Hank%20Aaron	2	2010	341092653
Hank%20Aaron	2	2011	411286929
Hank%20Aaron	3	2006	41690238
Hank%20Aaron	3	2007	111758086
Hank%20Aaron	3	2008	192944402
Hank%20Aaron	3	2009	273830759
Hank%20Aaron	3	2010	346174915
Hank%20Aaron	3	2011	416462872
Hank%20Aaron	4	2006	46391555
Hank%20Aaron	4	2007	119169446
Hank%20Aaron	4	2008	202470366
Hank%20Aaron	4	2009	280870547
Hank%20Aaron	4	2010	352139159
Hank%20Aaron	4	2011	421692329
Hank%20Aaron	5	2006	50825622
Hank%20Aaron	5	2008	207066006
Hank%20Aaron	5	2009	287134182
Hank%20Aaron	5	2010	359210845
Hank%20Aaron	5	2011	425667807
Hank%20Aaron	6	2006	56219761
Hank%20Aaron	6	2008	214985681
Hank%20Aaron	6	2009	292475404
Hank%20Aaron	6	2010	365122122
Hank%20Aaron	6	2011	431794445
Hank%20Aaron	7	2006	61220597
Hank%20Aaron	7	2007	141710638
Hank%20Aaron	7	2008	219783268
Hank%20Aaron	7	2009	299353876
Hank%20Aaron	7	2010	369428905
Hank%20Aaron	7	2011	436737665
Hank%20Aaron	8	2006	66351160
Hank%20Aaron	8	2007	148374620
Hank%20Aaron	8	2008	229045437
Hank%20Aaron	8	2009	305158551
Hank%20Aaron	8	2010	375963818
Hank%20Aaron	8	2011	441289632
Hank%20Aaron	9	2006	73154426
Hank%20Aaron	9	2007	154921883
Hank%20Aaron	9	2008	234878817
Hank%20Aaron	9	2009	308994392
Hank%20Aaron	9	2010	382080824
Hank%20Aaron	9	2011	447526204
Hank%20Aaron	10	2006	78558000
Hank%20Aaron	10	2007	161132661
Hank%20Aaron	10	2008	242028342
Hank%20Aaron	10	2009	317066838
Hank%20Aaron	10	2010	387872334
Hank%20Aaron	10	2011	448236491
Hank%20Aaron	11	2006	84902082
Hank%20Aaron	11	2007	168422406
Hank%20Aaron	11	2008	248921096
Hank%20Aaron	11	2009	322727938
Hank%20Aaron	11	2010	394012540
Hank%20Aaron	11	2011	457910994
Hank%20Aaron	12	2006	90699117
Hank%20Aaron	12	2007	173094974
Hank%20Aaron	12	2008	255028057
Hank%20Aaron	12	2009	328583155
Hank%20Aaron	12	2010	399769026
Hank%20Aaron	12	2011	463235729
Yogi%20Berra	1	2006	30736976
Yogi%20Berra	1	2007	95961042
Yogi%20Berra	1	2008	180243673
Yogi%20Berra	1	2009	260065134
Yogi%20Berra	1	2010	334305189
Yogi%20Berra	1	2011	405064289
Yogi%20Berra	2	2006	37367114
Yogi%20Berra	2	2007	104633436
Yogi%20Berra	2	2008	188246486
Yogi%20Berra	2	2009	267043311
Yogi%20Berra	2	2010	339757719
Yogi%20Berra	2	2011	410802741
Yogi%20Berra	3	2006	41690231
Yogi%20Berra	3	2007	111542678
Yogi%20Berra	3	2008	194875344
Yogi%20Berra	3	2009	273595829
Yogi%20Berra	3	2010	346561899
Yogi%20Berra	3	2011	415938654
Yogi%20Berra	4	2006	46321044
Yogi%20Berra	4	2007	117850667
Yogi%20Berra	4	2008	202387457
Yogi%20Berra	4	2009	281004245
Yogi%20Berra	4	2010	352777246
Yogi%20Berra	4	2011	420397622
Yogi%20Berra	5	2006	50829136
Yogi%20Berra	5	2008	209367546
Yogi%20Berra	5	2009	286339299
Yogi%20Berra	5	2010	359272131
Yogi%20Berra	5	2011	424717741
Yogi%20Berra	6	2006	56083621
Yogi%20Berra	6	2008	215918611
Yogi%20Berra	6	2009	293090247
Yogi%20Berra	6	2010	365331857
Yogi%20Berra	6	2011	431596583
Yogi%20Berra	7	2006	61442149
Yogi%20Berra	7	2007	141098942
Yogi%20Berra	7	2008	222531386
Yogi%20Berra	7	2009	298774529
Yogi%20Berra	7	2010	369409294
Yogi%20Berra	7	2011	437147198
Yogi%20Berra	8	2006	66870485
Yogi%20Berra	8	2007	148408923
Yogi%20Berra	8	2008	228934232
Yogi%20Berra	8	2009	305343530
Yogi%20Berra	8	2010	376538009
Yogi%20Berra	8	2011	442125619
Yogi%20Berra	9	2006	72661483
Yogi%20Berra	9	2007	154871875
Yogi%20Berra	9	2008	234969320
Yogi%20Berra	9	2009	309843972
Yogi%20Berra	9	2010	382043246
Yogi%20Berra	9	2011	446816445
Yogi%20Berra	10	2006	78558295
Yogi%20Berra	10	2007	159891643
Yogi%20Berra	10	2008	241889988
Yogi%20Berra	10	2009	317099660
Yogi%20Berra	10	2010	386617553
Yogi%20Berra	10	2011	453303759
Yogi%20Berra	11	2006	84266023
Yogi%20Berra	11	2007	168287695
Yogi%20Berra	11	2008	248695264
Yogi%20Berra	11	2009	322819137
Yogi%20Berra	11	2010	393463461
Yogi%20Berra	11	2011	458404573
Yogi%20Berra	12	2006	91180480
Yogi%20Berra	12	2007	174549588
Yogi%20Berra	12	2008	255080368
Yogi%20Berra	12	2009	328814372
Yogi%20Berra	12	2010	399496996
Yogi%20Berra	12	2011	462841413
Joe%20Coleman	1	2006	16964334
Joe%20Coleman	1	2007	89023471
Joe%20Coleman	1	2008	112326547
Joe%20Coleman	1	2009	214269643
Joe%20Coleman	1	2010	317048110
Joe%20Coleman	1	2011	317048110
Joe%20Coleman	2	2006	16964334
Joe%20Coleman	2	2007	97775739
Joe%20Coleman	2	2008	185744234
Joe%20Coleman	2	2009	214269643
Joe%20Coleman	2	2010	317048110
Joe%20Coleman	2	2011	317048110
Joe%20Coleman	3	2006	16964334
Joe%20Coleman	3	2007	97775739
Joe%20Coleman	3	2008	185744234
Joe%20Coleman	3	2009	214269643
Joe%20Coleman	3	2010	317048110
Joe%20Coleman	3	2011	317048110
Joe%20Coleman	4	2006	16964334
Joe%20Coleman	4	2007	112326547
Joe%20Coleman	4	2008	185744234
Joe%20Coleman	4	2009	214269643
Joe%20Coleman	4	2010	317048110
Joe%20Coleman	4	2011	317048110
Joe%20Coleman	5	2006	16964334
Joe%20Coleman	5	2007	112326547
Joe%20Coleman	5	2008	206427280
Joe%20Coleman	5	2009	214269643
Joe%20Coleman	5	2010	317048110
Joe%20Coleman	5	2011	317048110
Joe%20Coleman	6	2006	16964334
Joe%20Coleman	6	2007	112326547
Joe%20Coleman	6	2008	214269643
Joe%20Coleman	6	2009	214269643
Joe%20Coleman	6	2010	317048110
Joe%20Coleman	6	2011	317048110
Joe%20Coleman	7	2006	16964334
Joe%20Coleman	7	2007	112326547
Joe%20Coleman	7	2008	214269643
Joe%20Coleman	7	2009	214269643
Joe%20Coleman	7	2010	317048110
Joe%20Coleman	7	2011	317048110
Joe%20Coleman	8	2006	16964334
Joe%20Coleman	8	2007	112326547
Joe%20Coleman	8	2008	214269643
Joe%20Coleman	8	2009	214269643
Joe%20Coleman	8	2010	317048110
Joe%20Coleman	8	2011	317048110
Joe%20Coleman	9	2006	67902555
Joe%20Coleman	9	2007	112326547
Joe%20Coleman	9	2008	214269643
Joe%20Coleman	9	2009	214269643
Joe%20Coleman	9	2010	317048110
Joe%20Coleman	9	2011	317048110
Joe%20Coleman	10	2006	73821899
Joe%20Coleman	10	2007	112326547
Joe%20Coleman	10	2008	214269643
Joe%20Coleman	10	2009	317048110
Joe%20Coleman	10	2010	317048110
Joe%20Coleman	10	2011	317048110
Joe%20Coleman	11	2006	73821899
Joe%20Coleman	11	2007	112326547
Joe%20Coleman	11	2008	214269643
Joe%20Coleman	11	2009	317048110
Joe%20Coleman	11	2010	317048110
Joe%20Coleman	11	2011	317048110
Joe%20Coleman	12	2006	89023471
Joe%20Coleman	12	2007	112326547
Joe%20Coleman	12	2008	214269643
Joe%20Coleman	12	2009	317048110
Joe%20Coleman	12	2010	317048110
Joe%20Coleman	12	2011	317048110
Don%20Aase	1	2006	33396225
Don%20Aase	1	2007	96107386
Don%20Aase	1	2008	178670117
Don%20Aase	1	2009	260272058
Don%20Aase	1	2010	334451877
Don%20Aase	1	2011	392724920
Don%20Aase	2	2006	33396225
Don%20Aase	2	2007	100275411
Don%20Aase	2	2008	178670117
Don%20Aase	2	2009	264275483
Don%20Aase	2	2010	339639568
Don%20Aase	2	2011	409361621
Don%20Aase	3	2006	41377088
Don%20Aase	3	2007	110492688
Don%20Aase	3	2008	191691438
Don%20Aase	3	2009	268414723
