playername	month	year	revs
Hank%20Aaron	1	2006	29
Hank%20Aaron	1	2007	65
Hank%20Aaron	1	2008	9
Hank%20Aaron	1	2009	9
Hank%20Aaron	1	2010	31
Hank%20Aaron	1	2011	8
Hank%20Aaron	2	2006	44
Hank%20Aaron	2	2007	159
Hank%20Aaron	2	2008	4
Hank%20Aaron	2	2009	7
Hank%20Aaron	2	2010	89
Hank%20Aaron	2	2011	45
Hank%20Aaron	3	2006	55
Hank%20Aaron	3	2007	101
Hank%20Aaron	3	2008	12
Hank%20Aaron	3	2009	41
Hank%20Aaron	3	2010	31
Hank%20Aaron	3	2011	13
Hank%20Aaron	4	2006	61
Hank%20Aaron	4	2007	134
Hank%20Aaron	4	2008	5
Hank%20Aaron	4	2009	55
Hank%20Aaron	4	2010	12
Hank%20Aaron	4	2011	7
Hank%20Aaron	5	2006	95
Hank%20Aaron	5	2007	109
Hank%20Aaron	5	2008	14
Hank%20Aaron	5	2009	21
Hank%20Aaron	5	2010	7
Hank%20Aaron	5	2011	13
Hank%20Aaron	6	2006	24
Hank%20Aaron	6	2007	63
Hank%20Aaron	6	2008	1
Hank%20Aaron	6	2009	13
Hank%20Aaron	6	2010	4
Hank%20Aaron	6	2011	22
Hank%20Aaron	7	2006	21
Hank%20Aaron	7	2007	162
Hank%20Aaron	7	2008	12
Hank%20Aaron	7	2009	27
Hank%20Aaron	7	2010	10
Hank%20Aaron	7	2011	12
Hank%20Aaron	8	2006	20
Hank%20Aaron	8	2007	116
Hank%20Aaron	8	2008	15
Hank%20Aaron	8	2009	7
Hank%20Aaron	8	2010	13
Hank%20Aaron	8	2011	10
Hank%20Aaron	9	2006	53
Hank%20Aaron	9	2007	11
Hank%20Aaron	9	2008	25
Hank%20Aaron	9	2009	22
Hank%20Aaron	9	2010	16
Hank%20Aaron	9	2011	1
Hank%20Aaron	10	2006	53
Hank%20Aaron	10	2007	14
Hank%20Aaron	10	2008	34
Hank%20Aaron	10	2009	19
Hank%20Aaron	10	2010	7
Hank%20Aaron	10	2011	19
Hank%20Aaron	11	2006	74
Hank%20Aaron	11	2007	9
Hank%20Aaron	11	2008	22
Hank%20Aaron	11	2009	26
Hank%20Aaron	11	2010	16
Hank%20Aaron	11	2011	17
Hank%20Aaron	12	2006	53
Hank%20Aaron	12	2007	11
Hank%20Aaron	12	2008	19
Hank%20Aaron	12	2009	14
Hank%20Aaron	12	2010	16
Hank%20Aaron	12	2011	1
Yogi%20Berra	1	2006	8
Yogi%20Berra	1	2007	18
Yogi%20Berra	1	2008	12
Yogi%20Berra	1	2009	16
Yogi%20Berra	1	2010	16
Yogi%20Berra	1	2011	7
Yogi%20Berra	2	2006	8
Yogi%20Berra	2	2007	28
Yogi%20Berra	2	2008	20
Yogi%20Berra	2	2009	18
Yogi%20Berra	2	2010	13
Yogi%20Berra	2	2011	8
Yogi%20Berra	3	2006	14
Yogi%20Berra	3	2007	25
Yogi%20Berra	3	2008	22
Yogi%20Berra	3	2009	32
Yogi%20Berra	3	2010	21
Yogi%20Berra	3	2011	10
Yogi%20Berra	4	2006	11
Yogi%20Berra	4	2007	35
Yogi%20Berra	4	2008	17
Yogi%20Berra	4	2009	29
Yogi%20Berra	4	2010	37
Yogi%20Berra	4	2011	3
Yogi%20Berra	5	2006	20
Yogi%20Berra	5	2007	18
Yogi%20Berra	5	2008	16
Yogi%20Berra	5	2009	31
Yogi%20Berra	5	2010	46
Yogi%20Berra	5	2011	12
Yogi%20Berra	6	2006	15
Yogi%20Berra	6	2007	28
Yogi%20Berra	6	2008	30
Yogi%20Berra	6	2009	11
Yogi%20Berra	6	2010	9
Yogi%20Berra	6	2011	11
Yogi%20Berra	7	2006	12
Yogi%20Berra	7	2007	52
Yogi%20Berra	7	2008	44
Yogi%20Berra	7	2009	15
Yogi%20Berra	7	2010	54
Yogi%20Berra	7	2011	12
Yogi%20Berra	8	2006	19
Yogi%20Berra	8	2007	41
Yogi%20Berra	8	2008	10
Yogi%20Berra	8	2009	15
Yogi%20Berra	8	2010	11
Yogi%20Berra	8	2011	5
Yogi%20Berra	9	2006	11
Yogi%20Berra	9	2007	46
Yogi%20Berra	9	2008	21
Yogi%20Berra	9	2009	23
Yogi%20Berra	9	2010	7
Yogi%20Berra	9	2011	6
Yogi%20Berra	10	2006	15
Yogi%20Berra	10	2007	23
Yogi%20Berra	10	2008	17
Yogi%20Berra	10	2009	16
Yogi%20Berra	10	2010	22
Yogi%20Berra	10	2011	6
Yogi%20Berra	11	2006	32
Yogi%20Berra	11	2007	17
