playername	month	year	traf
Hank%20Aaron	01	2006	0
Hank%20Aaron	01	2007	0
Hank%20Aaron	01	2008	1010.000
Hank%20Aaron	01	2009	1302.000
Hank%20Aaron	01	2010	1015.000
Hank%20Aaron	01	2011	1019.000
Hank%20Aaron	02	2006	0
Hank%20Aaron	02	2007	0
Hank%20Aaron	02	2008	2287.000
Hank%20Aaron	02	2009	2727.000
Hank%20Aaron	02	2010	1708.000
Hank%20Aaron	02	2011	2099.000
Hank%20Aaron	03	2006	0
Hank%20Aaron	03	2007	0
Hank%20Aaron	03	2008	996.000
Hank%20Aaron	03	2009	1206.000
Hank%20Aaron	03	2010	995.000
Hank%20Aaron	03	2011	1167.000
Hank%20Aaron	04	2006	0
Hank%20Aaron	04	2007	0
Hank%20Aaron	04	2008	1576.000
Hank%20Aaron	04	2009	1514.000
Hank%20Aaron	04	2010	1293.000
Hank%20Aaron	04	2011	1359.000
Hank%20Aaron	05	2006	0
Hank%20Aaron	05	2007	0
Hank%20Aaron	05	2008	1359.000
Hank%20Aaron	05	2009	1454.000
Hank%20Aaron	05	2010	1269.000
Hank%20Aaron	05	2011	1507.000
Hank%20Aaron	06	2006	0
Hank%20Aaron	06	2007	0
Hank%20Aaron	06	2008	999.000
Hank%20Aaron	06	2009	1180.000
Hank%20Aaron	06	2010	738.000
Hank%20Aaron	06	2011	967.000
Hank%20Aaron	07	2006	0
Hank%20Aaron	07	2007	0
Hank%20Aaron	07	2008	949.000
Hank%20Aaron	07	2009	1786.000
Hank%20Aaron	07	2010	1042.000
Hank%20Aaron	07	2011	1426.000
Hank%20Aaron	08	2006	0
Hank%20Aaron	08	2007	0
Hank%20Aaron	08	2008	767.000
Hank%20Aaron	08	2009	1147.000
Hank%20Aaron	08	2010	1452.000
Hank%20Aaron	08	2011	1032.000
Hank%20Aaron	09	2006	0
Hank%20Aaron	09	2007	0
Hank%20Aaron	09	2008	810.000
Hank%20Aaron	09	2009	903.000
Hank%20Aaron	09	2010	1096.000
Hank%20Aaron	09	2011	719.000
Hank%20Aaron	10	2006	0
Hank%20Aaron	10	2007	0
Hank%20Aaron	10	2008	987.000
Hank%20Aaron	10	2009	918.000
Hank%20Aaron	10	2010	1113.000
Hank%20Aaron	10	2011	1056.000
Hank%20Aaron	11	2006	0
Hank%20Aaron	11	2007	0
Hank%20Aaron	11	2008	654.000
Hank%20Aaron	11	2009	857.000
Hank%20Aaron	11	2010	931.000
Hank%20Aaron	11	2011	723.000
Hank%20Aaron	12	2006	0
Hank%20Aaron	12	2007	707.000
Hank%20Aaron	12	2008	586.000
Hank%20Aaron	12	2009	578.000
Hank%20Aaron	12	2010	753.000
Hank%20Aaron	12	2011	1132.000
Yogi%20Berra	01	2006	0
Yogi%20Berra	01	2007	0
Yogi%20Berra	01	2008	661.000
